generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
18,2304,self,0.1192230898886919,0.06095870491117239,-137.76796340942383,0.1944388411939144,0.734375,4,27.48149538040161,-35.345863342285156,145.6323356628418,0.012196701485663652,0.13473714143037796,0.044732547365128994,0.18359375,0.70703125,0.498046875,0.005168749999999999,0.010156249999999999,0.0,3.3046875,1.765625,0.5342789598108747,1.140625,0.0,0.3984375,0.0234375,0.0,0.6953125,0.125,0.3828125,0.046875,0.1953125,0.0234375,0.0,,3
19,2432,self,0.14296867698431015,0.019823302049189806,-137.76865768432617,0.19246482849121094,0.74609375,4,27.383694648742676,-35.345863342285156,145.73081588745117,0.01168925641104579,0.14043208956718445,0.05106034688651562,0.197265625,0.689453125,0.552734375,0.0007515625000000003,0.003125,0.0078125,0.796875,0.640625,0.803921568627451,0.0390625,0.0,0.1171875,0.0078125,0.0,0.09375,0.0,0.15625,0.0234375,0.03125,0.0,0.0,,3
20,2560,league,0.09849590994417667,0.012459649937227368,-137.8431167602539,0.18390996009111404,0.74609375,4,27.381003856658936,-35.345863342285156,145.80797576904297,0.012198163196444511,0.1052876878529787,0.05417515616863966,0.20703125,0.693359375,0.55078125,0.002770312500000002,0.003125,0.0,0.75,0.5078125,0.6770833333333334,0.1640625,0.0,0.078125,0.0234375,0.0,0.1171875,0.0,0.25,0.0078125,0.03125,0.0,0.0,,3
20,2560,eval,0.09849590994417667,0.012459649937227368,-137.8431167602539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3
21,2688,self,0.11831555142998695,0.021923329681158066,-137.9502182006836,0.21722888574004173,0.779296875,4,27.470648765563965,-35.345863342285156,145.825439453125,0.011638703290373087,0.1621955893933773,0.04734824039041996,0.181640625,0.73828125,0.53125,-0.0030703125,0.005859375,0.0,0.9765625,0.703125,0.72,0.125,0.0,0.1484375,0.03125,0.0,0.1875,0.0078125,0.25,0.03125,0.0546875,0.0078125,0.0,,3
22,2816,self,0.14125965349376202,0.13710527122020721,-137.9667091369629,0.17906076088547707,0.744140625,4,27.48971462249756,-35.345863342285156,145.82285690307617,0.009614235954359174,0.11255744658410549,0.042076376266777515,0.138671875,0.6796875,0.48046875,0.012806249999999998,0.01328125,0.0,3.5078125,1.4140625,0.40311804008908686,1.71875,0.0,0.375,0.0703125,0.0,0.609375,0.046875,0.359375,0.03125,0.15625,0.03125,0.0,,3
23,2944,league,0.08147843927145004,0.050156569108366966,-137.98621368408203,0.18444199115037918,0.763671875,4,27.45964765548706,-35.345863342285156,145.87242889404297,0.011359499068930745,0.13074606843292713,0.057299486361443996,0.171875,0.71875,0.546875,0.003265625,0.009179687500000002,0.0,1.515625,1.0859375,0.7164948453608248,0.2421875,0.0,0.1875,0.0234375,0.0,0.2734375,0.0234375,0.3359375,0.0234375,0.078125,0.015625,0.0,,3
24,3072,self,0.07599278725683689,0.16857239231467247,-137.8552131652832,0.15020200982689857,0.744140625,4,27.356608867645264,-35.345863342285156,145.84446716308594,0.010732063325121999,0.11948204413056374,0.035316312685608864,0.169921875,0.70703125,0.443359375,-0.014695312500000002,0.0025390624999999997,0.0,1.3046875,0.90625,0.6946107784431138,0.28125,0.0078125,0.109375,0.0078125,0.0078125,0.328125,0.0625,0.25,0.0390625,0.0625,0.015625,0.0,,3
25,3200,self,0.11535470746457577,0.032765258103609085,-137.67156982421875,0.1520167849957943,0.720703125,4,27.272574424743652,-35.345863342285156,145.74485778808594,0.009753108257427812,0.11123684793710709,0.04003614466637373,0.142578125,0.685546875,0.47265625,-0.005478125,0.0011718750000000002,0.0,0.4765625,0.3359375,0.7049180327868853,0.015625,0.0,0.125,0.0,0.0,0.15625,0.0,0.1015625,0.0,0.0078125,0.0,0.0,,3
25,3200,eval,0.11535470746457577,0.032765258103609085,-137.67156982421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3
