generation,total_steps,match_type,policy_loss,value_loss,entropy_loss,approx_kl,clip_frac,epochs_done,ent_launch,ent_ships,ent_target,kl_launch,kl_ships,kl_target,cf_launch,cf_ships,cf_target,mean_dense_rew,mean_cap_bonus,mean_terminal_rew,mean_attempts,mean_launched,launch_rate,mean_filtered_invalid_target,mean_filtered_zero_ships,mean_filtered_sun,mean_filtered_path,mean_out,mean_sun_crash,mean_target_hit_exclusive,mean_target_hit_ambiguous,mean_hit_other_exclusive,mean_hit_other_ambiguous,mean_captured_exclusive,mean_captured_ambiguous,mean_unknown_removal,win_rate,league_size
37,4736,self,0.1671183966100216,0.013690985040739179,-137.87079238891602,0.1813986338675022,0.763671875,4,27.492310047149658,-35.345863342285156,145.72434616088867,0.010312833357602358,0.12310910224914551,0.05137970857322216,0.1953125,0.703125,0.548828125,-0.004174999999999999,0.0,0.0,0.5625,0.3046875,0.5416666666666666,0.0078125,0.0,0.09375,0.15625,0.0,0.0,0.234375,0.0078125,0.015625,0.0,0.0,0.0,0.0,,5
38,4864,self,0.053276797756552696,0.14654823765158653,-137.7292823791504,0.16470884531736374,0.708984375,4,27.51380729675293,-35.345863342285156,145.56133651733398,0.011874307878315449,0.11027857102453709,0.0509613836184144,0.1953125,0.66796875,0.5,0.005859375000000002,0.012109375,0.0,2.0859375,0.7265625,0.34831460674157305,0.515625,0.0,0.34375,0.5,0.0078125,0.0,0.359375,0.015625,0.0078125,0.0,0.140625,0.0,0.0,,5
39,4992,self,0.09169917926192284,0.008842570474371314,-137.74412155151367,0.21423866599798203,0.794921875,4,27.60452890396118,-35.345863342285156,145.4854507446289,0.01516176643781364,0.1251489259302616,0.04965204745531082,0.25,0.68359375,0.5546875,-0.0005078125000000003,0.0,0.0,0.4765625,0.171875,0.36065573770491804,0.015625,0.0,0.09375,0.1953125,0.0,0.0,0.1328125,0.0,0.0078125,0.0,0.0,0.0,0.0,,5
40,5120,league,0.13243639841675758,0.1007294561713934,-137.73662567138672,0.20564812421798706,0.75390625,4,27.671222686767578,-35.345863342285156,145.41125869750977,0.008346502319909632,0.14393722638487816,0.048892599530518055,0.11328125,0.70703125,0.49609375,0.0096015625,0.011914062500000001,0.0,3.8359375,0.6484375,0.1690427698574338,1.71875,0.0,0.4609375,1.0078125,0.0234375,0.0,0.4609375,0.015625,0.015625,0.0,0.171875,0.0,0.0,,5
40,5120,eval,0.13243639841675758,0.1007294561713934,-137.73662567138672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5
41,5248,self,0.0927849542349577,0.05031282361596823,-137.78157806396484,0.15673526376485825,0.744140625,4,27.682841300964355,-35.345863342285156,145.4446029663086,0.009605254046618938,0.10053804703056812,0.05043818522244692,0.138671875,0.66015625,0.484375,-0.009256249999999999,0.009960937500000001,0.0,1.59375,0.546875,0.3431372549019608,0.265625,0.0,0.2265625,0.5546875,0.0078125,0.0,0.4140625,0.0078125,0.0078125,0.0,0.0703125,0.0,0.0,,5
42,5376,self,0.13078603893518448,0.022254187613725662,-137.78036499023438,0.15899793058633804,0.734375,4,27.669002056121826,-35.345863342285156,145.45722579956055,0.008519217604771256,0.09747601673007011,0.046254281885921955,0.1328125,0.642578125,0.501953125,0.0012703124999999989,0.008007812500000003,0.0,2.6796875,0.859375,0.3206997084548105,0.859375,0.0,0.34375,0.6171875,0.0,0.0078125,0.546875,0.015625,0.0078125,0.0,0.125,0.0,0.0,,5
43,5504,self,0.09127424098551273,1.005246415734291,-137.83330535888672,0.17614851146936417,0.7421875,4,27.66444683074951,-35.345863342285156,145.5147247314453,0.008523309836164117,0.12209619581699371,0.039717208594083786,0.126953125,0.6796875,0.4765625,0.031225,0.03125,0.0,4.6015625,0.8671875,0.18845500848896435,2.921875,0.0,0.265625,0.546875,0.0234375,0.0,0.59375,0.1171875,0.03125,0.0,0.1953125,0.015625,0.0,,5
44,5632,league,0.05539143085479736,0.06594109069555998,-137.8457794189453,0.14967979304492474,0.728515625,4,27.676292896270752,-35.345863342285156,145.5153465270996,0.009745369432494044,0.09797007963061333,0.0451465155929327,0.146484375,0.642578125,0.5234375,-0.005592187499999998,0.0025390625000000005,0.0,0.4765625,0.171875,0.36065573770491804,0.1953125,0.0,0.03125,0.078125,0.0,0.0,0.0703125,0.015625,0.0,0.0,0.015625,0.0,0.0,,5
45,5760,self,0.11609408631920815,0.15830639004707336,-137.83677291870117,0.15915367379784584,0.6953125,4,27.700839042663574,-35.345863342285156,145.48179626464844,0.011043358594179153,0.1096556019037962,0.042123470455408096,0.189453125,0.65234375,0.44921875,0.00563125,0.01640625,0.0,3.28125,0.8515625,0.25952380952380955,1.265625,0.0,0.4140625,0.75,0.015625,0.0,0.5078125,0.046875,0.0,0.0,0.15625,0.0,0.0,,5
45,5760,eval,0.11609408631920815,0.15830639004707336,-137.83677291870117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,5
46,5888,self,0.05151363927870989,0.02422024216502905,-137.73665618896484,0.1402205117046833,0.71484375,4,27.71666145324707,-35.345863342285156,145.3658561706543,0.010183599311858416,0.09006617777049541,0.03853319771587849,0.162109375,0.5859375,0.435546875,0.003920312500000005,0.004687500000000001,0.0078125,1.0546875,0.4375,0.4148148148148148,0.328125,0.0,0.109375,0.1796875,0.0,0.0,0.265625,0.0234375,0.03125,0.0,0.0390625,0.0,0.0,,5
47,6016,self,0.1841212995350361,0.03045127959921956,-137.58025360107422,0.1502363719046116,0.734375,4,27.7184100151062,-35.345863342285156,145.20771026611328,0.009656122187152505,0.09152780659496784,0.043623979203402996,0.130859375,0.62890625,0.490234375,-0.003151562500000001,0.009765625,0.0,1.828125,0.671875,0.36752136752136755,0.5625,0.0,0.1875,0.40625,0.0,0.0,0.4375,0.0390625,0.0234375,0.0,0.078125,0.0,0.0,,5
48,6144,self,0.11957800202071667,0.02057731570675969,-137.31458282470703,0.13947897404432297,0.701171875,4,27.715352535247803,-35.345863342285156,144.94509506225586,0.008551844977773726,0.08131583593785763,0.04688908066600561,0.115234375,0.60546875,0.513671875,-0.0015765625000000005,0.0023437500000000003,0.0,0.6953125,0.375,0.5393258426966292,0.0078125,0.0,0.1328125,0.1796875,0.0,0.0,0.21875,0.0078125,0.015625,0.0,0.015625,0.0,0.0,,5
